title,address,city,state,postal_code,price,facts and features,real estate provider,url
Apartment for sale,,Denver,CO,80210,"$875,000","3 bds, 4.0 ba ,2821 sqft",Re/max Alliance,https://www.zillow.com/homedetails/2005-S-Washington-St-Denver-CO-80210/13378053_zpid/
House for sale,,Denver,CO,80210,"$379,999","3 bds, 1.0 ba ,1023 sqft",Mb Liberty Associates Llc,https://www.zillow.com/homedetails/2730-S-Cook-St-Denver-CO-80210/13387506_zpid/
House for sale,,Denver,CO,80210,"$725,000","3 bds, 3.0 ba ,4284 sqft",Brokers Guild Homes,https://www.zillow.com/homedetails/3333-E-Florida-Ave-APT-32-Denver-CO-80210/13372178_zpid/
House for sale,,Denver,CO,80210,"$1,195,000","4 bds, 5.0 ba ,3423 sqft",Terra Realty Group,https://www.zillow.com/homedetails/3425-E-Vassar-Ave-Denver-CO-80210/13375446_zpid/
House for sale,,Denver,CO,80210,"$630,000","4 bds, 2.0 ba ,2090 sqft",Your Castle Real Estate Inc,https://www.zillow.com/homedetails/2107-S-Saint-Paul-St-Denver-CO-80210/13374465_zpid/
Condo for sale,,Denver,CO,80210,"$309,900","1 bds, 1.0 ba ,576 sqft",Dominion Realty Group Llc,https://www.zillow.com/homedetails/2374-S-University-Blvd-403-Denver-CO-80210/2079254266_zpid/
House for sale,,Denver,CO,80210,"$1,395,000","6 bds, 6.0 ba ,5679 sqft",Kentwood Real Estate Cherry Creek,https://www.zillow.com/homedetails/2635-S-Monroe-St-Denver-CO-80210/13375569_zpid/
House for sale,,Denver,CO,80210,"$1,200,000","4 bds, 4.0 ba ,4317 sqft",Liv Sotheby's International Realty,https://www.zillow.com/homedetails/3815-E-Wesley-Ave-Denver-CO-80210/13375163_zpid/
Coming soon,,Denver,CO,80210,"$2,350,000","6 bds, 7.0 ba ,6414 sqft",Milehimodern,https://www.zillow.com/homedetails/2591-S-Columbine-St-Denver-CO-80210/13375016_zpid/
Townhouse for sale,,Denver,CO,80210,"$369,000","1 bds, 2.0 ba ,798 sqft",Modus Real Estate,https://www.zillow.com/homedetails/61-E-Asbury-Ave-Denver-CO-80210/2079262082_zpid/
Coming soon,,Denver,CO,80210,"$815,000","4 bds, 3.0 ba ,2645 sqft",,https://www.zillow.com/homedetails/3092-S-Josephine-St-Denver-CO-80210/13387766_zpid/
New construction,,Denver,CO,80210,"$495,000+","2 bds, 2.0 ba ,1011 sqft",Dublin Development,https://www.zillow.com/community/observatory-flats/2080273263_zpid/
New construction,,Denver,CO,80210,"$395,000+","2 bds, 2.0 ba ,937 sqft",Dublin Development,https://www.zillow.com/community/observatory-flats/2080273265_zpid/
House for sale,,Denver,CO,80210,"$825,000","5 bds, 3.0 ba ,2942 sqft",Homesmart Realty Group,https://www.zillow.com/homedetails/1467-S-Lafayette-St-Denver-CO-80210/13370947_zpid/
Apartment for sale,,Denver,CO,80210,"$775,000","3 bds, 3.0 ba ,1910 sqft","Ecospace, Inc",https://www.zillow.com/homedetails/1414-E-Wesley-Ave-Denver-CO-80210/2079488889_zpid/
House for sale,,Denver,CO,80210,"$1,350,000","6 bds, 4.0 ba ,3672 sqft",Madison & Company Properties,https://www.zillow.com/homedetails/1200-S-Gaylord-St-Denver-CO-80210/13370363_zpid/
House for sale,,Denver,CO,80210,"$695,000","3 bds, 2.0 ba ,1829 sqft",Trelora Colorado,https://www.zillow.com/homedetails/2684-S-Cook-St-Denver-CO-80210/13375543_zpid/
House for sale,,Denver,CO,80210,"$525,000","3 bds, 1.0 ba ,1217 sqft",Berkshire Hathaway Homeservices Ire Englewood,https://www.zillow.com/homedetails/1855-S-Downing-St-Denver-CO-80210/13371475_zpid/
House for sale,,Denver,CO,80210,"$729,000","3 bds, 3.0 ba ,2014 sqft",Liv Sotheby's International Realty,https://www.zillow.com/homedetails/1165-S-Harrison-St-Denver-CO-80210/13371829_zpid/
House for sale,,Denver,CO,80210,"$1,100,000","4 bds, 3.0 ba ,3321 sqft",WK Real Estate,https://www.zillow.com/homedetails/1312-S-Josephine-St-Denver-CO-80210/13372783_zpid/
New construction,,Denver,CO,80210,"$325,000+","1 bds, 1.0 ba ,719 sqft",Dublin Development,https://www.zillow.com/community/observatory-flats/2080273259_zpid/
House for sale,,Denver,CO,80210,"$560,000","4 bds, 2.0 ba ,1533 sqft",Madison & Company Properties,https://www.zillow.com/homedetails/2925-S-Gaylord-St-Denver-CO-80210/13386657_zpid/
Condo for sale,,Denver,CO,80210,"$185,000","1 bds, 1.0 ba ,378 sqft","Nest Real Estate Group, Llc",https://www.zillow.com/homedetails/2220-E-Mississippi-Ave-UNIT-11-Denver-CO-80210/58294208_zpid/
House for sale,,Denver,CO,80210,"$1,470,000","5 bds, 5.0 ba ,5112 sqft",Re/Max Masters Millennium,https://www.zillow.com/homedetails/2520-S-Adams-St-Denver-CO-80210/13375464_zpid/
House for sale,,Denver,CO,80210,"$1,175,000","3 bds, 4.0 ba ,2760 sqft",Re/max Of Boulder,https://www.zillow.com/homedetails/1532-S-Ogden-St-Denver-CO-80210/13371051_zpid/
Townhouse for sale,,Denver,CO,80210,"$449,000","2 bds, 2.0 ba ,890 sqft",Modus Real Estate,https://www.zillow.com/homedetails/1999-S-Lincoln-St-Denver-CO-80210/2079325940_zpid/
House for sale,,Denver,CO,80210,"$2,999,999","5 bds, 6.0 ba ,5425 sqft",Milehimodern,https://www.zillow.com/homedetails/2266-S-Columbine-St-Denver-CO-80210/13374552_zpid/
New construction,,Denver,CO,80210,"$320,000+","1 bds, 1.0 ba ,737 sqft",Dublin Development,https://www.zillow.com/community/observatory-flats/2080273255_zpid/
New construction,,Denver,CO,80210,"$299,000+","1 bds, 1.0 ba ,622 sqft",Dublin Development,https://www.zillow.com/community/observatory-flats/2080273257_zpid/
House for sale,,Denver,CO,80210,"$1,249,000","6 bds, 6.0 ba ,4981 sqft",Mb Denver Colorado Realty Source,https://www.zillow.com/homedetails/1545-S-Garfield-St-Denver-CO-80210/13373970_zpid/
Condo for sale,,Denver,CO,80210,"$295,000","2 bds, 2.0 ba ,1564 sqft",Re/max Masters Millennium,https://www.zillow.com/homedetails/3924-E-Evans-Ave-Denver-CO-80210/13374089_zpid/
House for sale,,Denver,CO,80210,"$2,990,000","7 bds, 7.0 ba ,6597 sqft",Compass - Denver,https://www.zillow.com/homedetails/2103-S-Madison-St-Denver-CO-80210/121238727_zpid/
House for sale,,Denver,CO,80210,"$1,100,000","4 bds, 4.0 ba ,4416 sqft",Compass - Denver,https://www.zillow.com/homedetails/2595-S-Pearl-St-Denver-CO-80210/58686677_zpid/
House for sale,,Denver,CO,80210,"$559,000","4 bds, 2.0 ba ,1897 sqft",Jeffrey Corn,https://www.zillow.com/homedetails/1865-S-Cook-St-Denver-CO-80210/13373738_zpid/
New construction,,Denver,CO,80210,"$299,000+","1 bds, 1.0 ba ,667 sqft",Dublin Development,https://www.zillow.com/community/observatory-flats/2080273258_zpid/
House for sale,,Denver,CO,80210,"$899,000","4 bds, 4.0 ba ,4318 sqft",Coldwell Banker Residential 24,https://www.zillow.com/homedetails/3070-S-Vine-St-Denver-CO-80210/13386917_zpid/
House for sale,,Denver,CO,80210,"$1,600,000","5 bds, 5.0 ba ,5404 sqft",Liv Sotheby's International Realty,https://www.zillow.com/homedetails/1255-S-Milwaukee-St-Denver-CO-80210/13372594_zpid/
Condo for sale,,Denver,CO,80210,"$339,900","1 bds, 1.0 ba ,759 sqft",Compass - Denver,https://www.zillow.com/homedetails/2374-S-University-Blvd-UNIT-208-Denver-CO-80210/2079414411_zpid/
Apartment for sale,,Denver,CO,80210,"$1,200,000","0 bds, None ba ,3684 sqft",Liv Sotheby's International Realty,https://www.zillow.com/homedetails/1468-1470-S-Washington-St-Denver-CO-80210/2080187511_zpid/
Auction,,Denver,CO,80210,,"2 bds, 2.0 ba ,1024 sqft",Auction.com,https://www.zillow.com/homedetails/1350-S-Corona-St-Denver-CO-80210/13370833_zpid/
